GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1500000US300630013034,300630013034,"Block Group 4, Census Tract 13.03, Missoula County, Montana",563,109,0,10,0,10,14,24,50,61,50,67,248,109,110,72,80,67,11,18,0,10
1500000US300630013041,300630013041,"Block Group 1, Census Tract 13.04, Missoula County, Montana",451,91,0,10,0,10,0,10,73,54,52,48,125,70,103,59,29,31,0,10,69,87
1500000US300630013042,300630013042,"Block Group 2, Census Tract 13.04, Missoula County, Montana",504,98,0,10,0,10,94,54,197,83,142,73,16,25,34,42,0,10,21,33,0,10
1500000US300630013043,300630013043,"Block Group 3, Census Tract 13.04, Missoula County, Montana",498,98,0,10,0,10,13,22,98,59,47,52,122,68,120,88,62,35,36,50,0,10
1500000US300630013044,300630013044,"Block Group 4, Census Tract 13.04, Missoula County, Montana",1154,128,32,27,15,23,519,155,424,130,37,43,36,42,0,10,67,80,0,10,24,38
1500000US300630014001,300630014001,"Block Group 1, Census Tract 14, Missoula County, Montana",812,102,0,10,11,11,245,82,174,72,64,40,179,54,64,40,22,34,25,27,28,29
1500000US300630014002,300630014002,"Block Group 2, Census Tract 14, Missoula County, Montana",791,83,0,10,5,9,161,47,93,37,77,32,146,48,49,39,93,51,17,16,150,51
1500000US300630014003,300630014003,"Block Group 3, Census Tract 14, Missoula County, Montana",629,73,0,10,0,10,112,58,89,34,78,47,208,60,91,45,23,20,10,16,18,23
1500000US300630014004,300630014004,"Block Group 4, Census Tract 14, Missoula County, Montana",344,68,0,10,10,12,70,42,126,54,10,11,36,19,9,10,0,10,5,7,78,49
1500000US300630014005,300630014005,"Block Group 5, Census Tract 14, Missoula County, Montana",390,76,0,10,0,10,15,14,43,23,50,28,98,48,20,15,45,34,23,23,96,47
1500000US300630015001,300630015001,"Block Group 1, Census Tract 15, Missoula County, Montana",422,97,0,10,3,5,36,29,163,61,71,38,75,42,2,4,4,5,52,72,16,14
1500000US300630015002,300630015002,"Block Group 2, Census Tract 15, Missoula County, Montana",735,109,0,10,0,10,165,67,2,4,151,110,331,109,51,38,16,24,0,10,19,30
1500000US300630015003,300630015003,"Block Group 3, Census Tract 15, Missoula County, Montana",836,150,25,36,0,10,141,77,52,50,240,120,233,107,129,91,0,10,0,10,16,25
1500000US300630015004,300630015004,"Block Group 4, Census Tract 15, Missoula County, Montana",576,122,0,10,0,10,103,84,130,81,69,53,170,85,41,35,0,10,16,25,47,56
1500000US300630016001,300630016001,"Block Group 1, Census Tract 16, Missoula County, Montana",1117,190,12,19,35,40,243,109,230,103,174,117,303,155,31,34,33,35,54,49,2,4
1500000US300630016002,300630016002,"Block Group 2, Census Tract 16, Missoula County, Montana",524,143,0,10,0,10,137,75,196,104,67,84,93,73,17,27,14,21,0,10,0,10
1500000US300630016003,300630016003,"Block Group 3, Census Tract 16, Missoula County, Montana",799,165,67,82,0,10,211,88,252,126,155,109,62,48,0,10,0,10,0,10,52,81
1500000US300630016004,300630016004,"Block Group 4, Census Tract 16, Missoula County, Montana",590,132,45,69,0,10,105,90,178,74,72,52,153,92,37,35,0,10,0,10,0,10
1500000US300630018001,300630018001,"Block Group 1, Census Tract 18, Missoula County, Montana",999,103,3,5,2,3,245,58,233,72,119,48,162,47,84,47,53,31,23,24,75,41
1500000US300630018002,300630018002,"Block Group 2, Census Tract 18, Missoula County, Montana",1024,90,5,6,23,21,174,40,113,51,198,49,205,55,120,41,106,36,48,38,32,17
1500000US300630018003,300630018003,"Block Group 3, Census Tract 18, Missoula County, Montana",416,73,0,10,0,10,74,68,67,29,27,18,186,54,36,26,6,10,10,10,10,13
1500000US300630018004,300630018004,"Block Group 4, Census Tract 18, Missoula County, Montana",1245,136,0,10,43,34,343,107,203,82,154,61,236,77,100,53,69,46,42,40,55,39
