GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
1500000US300630010004,300630010004,"Block Group 4, Census Tract 10, Missoula County, Montana",213,77,0,10,19,30,0,10,0,10,0,10,0,10,14,23,0,10,6,13,19,30,0,10,0,10,0,10,25,37,28,32,0,10,13,22,63,54,0,10,0,10,26,29,0,10,0,10,0,10,0,10,0,10
1500000US300630011001,300630011001,"Block Group 1, Census Tract 11, Missoula County, Montana",223,56,0,10,0,10,0,10,10,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,17,49,47,48,30,16,17,62,40,18,20,9,14,0,10,0,10,0,10,0,10
1500000US300630011002,300630011002,"Block Group 2, Census Tract 11, Missoula County, Montana",210,55,0,10,0,10,11,17,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,15,16,10,16,29,25,18,20,77,37,21,19,0,10,0,10,0,10,0,10,0,10,0,10,29,43
1500000US300630011003,300630011003,"Block Group 3, Census Tract 11, Missoula County, Montana",211,62,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,19,22,35,0,10,10,16,29,26,71,34,61,27,0,10,6,9,0,10,0,10,0,10,0,10
1500000US300630012001,300630012001,"Block Group 1, Census Tract 12, Missoula County, Montana",171,69,17,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,22,25,15,23,68,44,18,28,16,27,15,24,0,10,0,10,0,10,0,10
1500000US300630012002,300630012002,"Block Group 2, Census Tract 12, Missoula County, Montana",197,78,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,32,37,0,10,0,10,34,40,19,30,64,57,48,36,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630012003,300630012003,"Block Group 3, Census Tract 12, Missoula County, Montana",245,78,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,113,63,31,36,101,67,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630012004,300630012004,"Block Group 4, Census Tract 12, Missoula County, Montana",255,75,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,20,12,20,0,10,0,10,25,29,155,73,51,42,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630013021,300630013021,"Block Group 1, Census Tract 13.02, Missoula County, Montana",482,99,18,29,0,10,0,10,0,10,19,30,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,26,29,0,10,81,56,84,59,160,65,65,46,29,33,0,10,0,10,0,10,0,10
1500000US300630013022,300630013022,"Block Group 2, Census Tract 13.02, Missoula County, Montana",384,96,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,17,27,0,10,36,40,73,55,222,90,10,17,18,29,8,14,0,10,0,10,0,10
1500000US300630013023,300630013023,"Block Group 3, Census Tract 13.02, Missoula County, Montana",337,73,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,31,35,0,10,17,28,43,50,63,50,59,42,87,53,37,40,0,10,0,10,0,10
1500000US300630013024,300630013024,"Block Group 4, Census Tract 13.02, Missoula County, Montana",326,94,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,22,10,17,138,56,41,47,40,47,69,84,14,23,0,10,0,10,0,10,0,10
1500000US300630013025,300630013025,"Block Group 5, Census Tract 13.02, Missoula County, Montana",301,90,0,10,0,10,0,10,0,10,18,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,35,120,103,31,36,35,33,46,44,30,26,0,10,0,10,0,10,0,10,0,10
