"","X","GEOID2","Display","Population","AvgAge","AvgIncome","AvgEducation","ProportionEmployed","TotalICD9Estimate","TotalLower","TotalUpper","ChronicICD9Estimate","ChronicLower","ChronicUpper"
"48",48,"300630013022","Block Group 2, Census Tract 13.02, Missoula County, Montana",1092,49.5041208791209,56658.9506701956,5.40454545454545,0.67466110531804,7.09202920982669,6.87637349336803,7.30768492628535,0.57538866825718,0.539790950348125,0.610986386166235
"49",49,"300630013023","Block Group 3, Census Tract 13.02, Missoula County, Montana",937,43.0122732123799,54401.5126781244,5.13565340909091,0.642265193370166,3.98158599914746,3.74877718551412,4.21439481278079,0.36841087840162,0.329981744175309,0.406840012627932
"50",50,"300630013024","Block Group 4, Census Tract 13.02, Missoula County, Montana",1125,33.1382222222222,46008.5836909871,4.7515479876161,0.784933171324423,3.78310226051395,3.57063477475142,3.99556974627649,0.345887215220137,0.310815770107433,0.380958660332841
"51",51,"300630013025","Block Group 5, Census Tract 13.02, Missoula County, Montana",873,39.1128293241695,35267.9782903664,4.92156862745098,0.739707835325365,3.1307467276672,2.88955893193421,3.37193452340018,0.286401768764193,0.246589538156082,0.326213999372304
"52",52,"300630013031","Block Group 1, Census Tract 13.03, Missoula County, Montana",1135,43.1242290748899,37229.1196388262,4.76143386897404,0.635593220338983,2.81610559633589,2.60458219803331,3.02762899463847,0.259000719348449,0.224085112252158,0.293916326444741
"53",53,"300630013032","Block Group 2, Census Tract 13.03, Missoula County, Montana",1811,33.7934842628382,42170.4863985467,4.97963800904977,0.656199677938808,1.51300765720651,1.34555976989787,1.68045554451516,0.094819936272909,0.0671797570336861,0.122460115512132
"54",54,"300630013033","Block Group 3, Census Tract 13.03, Missoula County, Montana",1124,45.0707295373665,27440.2907580478,4.80122494432071,0.516221374045801,1.56080709910679,1.34826211113381,1.77335208707978,0.10214818207716,0.0670639438798569,0.137232420274463
"55",55,"300630013034","Block Group 4, Census Tract 13.03, Missoula County, Montana",1001,37.03996003996,27473.1503579952,5.00220588235294,0.831096196868009,6.93453135311884,6.7092957567183,7.15976694951938,0.526076635019717,0.488897591702861,0.563255678336574
"56",56,"300630013041","Block Group 1, Census Tract 13.04, Missoula County, Montana",1051,45.4167459562322,39532.8586108984,5.42173350582148,0.661157024793388,1.63824677117745,1.41843799527409,1.85805554708081,0.130319442014679,0.0940361895832857,0.166602694446072
"57",57,"300630013042","Block Group 2, Census Tract 13.04, Missoula County, Montana",1549,38.2324080051646,50179.0354188884,4.47484599589322,0.638912489379779,3.78382477068299,3.60275866998112,3.96489087138486,0.316597997990926,0.286709896337413,0.34648609964444
"58",58,"300630013043","Block Group 3, Census Tract 13.04, Missoula County, Montana",1234,37.614262560778,43684.6722062217,5.21495327102804,0.498432601880878,3.87355668779588,3.67068852658311,4.07642484900864,0.334695021699332,0.301208111664349,0.368181931734314
"59",59,"300630013044","Block Group 4, Census Tract 13.04, Missoula County, Montana",3195,32.3428794992175,47710.5732359424,5.06173496540713,0.749888343010272,1.6772726378733,1.55120090525812,1.80334437048849,0.135039147502412,0.114228820525518,0.155849474479306
"60",60,"300630014001","Block Group 1, Census Tract 14, Missoula County, Montana",2043,37.8558492413118,33057.3551317903,4.51737871107893,0.597980997624703,1.66073859238495,1.50308289421041,1.81839429055948,0.134117681584656,0.108093873069253,0.160141490100059
"61",61,"300630014002","Block Group 2, Census Tract 14, Missoula County, Montana",1991,39.4733802109493,34426.4978629913,4.32032927702219,0.696670776818742,2.27332198167228,2.11361925493694,2.43302470840761,0.197982940745,0.171621234647025,0.224344646842974
"62",62,"300630014003","Block Group 3, Census Tract 14, Missoula County, Montana",1408,45.9509943181818,56422.8036521987,4.7803605313093,0.551020408163265,1.6531717639565,1.46325914206262,1.84308438585037,0.134929652984533,0.103581279509616,0.166278026459451
