"","GEOID2","Display","TotalPopulation","AvgAge","numKids","numElderly","NonIncomePopulation","PercentKids","PercentElderly","AvgIncome","AvgEducation","Unemployed","Employed"
"51","300630013024","Block Group 4, Census Tract 13.02, Missoula County, Montana",1125,33.1382222222222,206,100,426,18.3111111111111,8.88888888888889,46008.5836909871,4.7515479876161,177,646
"52","300630013025","Block Group 5, Census Tract 13.02, Missoula County, Montana",873,39.1128293241695,120,136,136,13.745704467354,15.5784650630011,35267.9782903664,4.92156862745098,196,557
"53","300630013031","Block Group 1, Census Tract 13.03, Missoula County, Montana",1135,43.1242290748899,73,267,249,6.43171806167401,23.5242290748899,37229.1196388262,4.76143386897404,344,600
"54","300630013032","Block Group 2, Census Tract 13.03, Missoula County, Montana",1811,33.7934842628382,392,227,669,21.6454997239094,12.5345113197129,42170.4863985467,4.97963800904977,427,815
"55","300630013033","Block Group 3, Census Tract 13.03, Missoula County, Montana",1124,45.0707295373665,49,219,161,4.35943060498221,19.4839857651246,27440.2907580478,4.80122494432071,507,541
"56","300630013034","Block Group 4, Census Tract 13.03, Missoula County, Montana",1001,37.03996003996,107,68,163,10.6893106893107,6.79320679320679,27473.1503579952,5.00220588235294,151,743
"57","300630013041","Block Group 1, Census Tract 13.04, Missoula County, Montana",1051,45.4167459562322,70,242,179,6.66032350142721,23.0256898192198,39532.8586108984,5.42173350582148,328,640
"58","300630013042","Block Group 2, Census Tract 13.04, Missoula County, Montana",1549,38.2324080051646,179,188,518,11.5558424790187,12.1368624919303,50179.0354188884,4.47484599589322,425,752
"59","300630013043","Block Group 3, Census Tract 13.04, Missoula County, Montana",1234,37.614262560778,259,225,378,20.9886547811994,18.2333873581848,43684.6722062217,5.21495327102804,480,477
"60","300630013044","Block Group 4, Census Tract 13.04, Missoula County, Montana",3195,32.3428794992175,481,217,1103,15.0547730829421,6.79186228482003,47710.5732359424,5.06173496540713,560,1679
"61","300630014001","Block Group 1, Census Tract 14, Missoula County, Montana",2043,37.8558492413118,208,268,497,10.1811062163485,13.1179637787567,33057.3551317903,4.51737871107893,677,1007
"62","300630014002","Block Group 2, Census Tract 14, Missoula County, Montana",1991,39.4733802109493,183,247,556,9.19136112506278,12.4058262179809,34426.4978629913,4.32032927702219,492,1130
"63","300630014003","Block Group 3, Census Tract 14, Missoula County, Montana",1408,45.9509943181818,90,320,301,6.39204545454545,22.7272727272727,56422.8036521987,4.7803605313093,550,675
"64","300630014004","Block Group 4, Census Tract 14, Missoula County, Montana",696,37.4885057471264,74,52,126,10.632183908046,7.47126436781609,27530.701754386,4.13962264150943,178,405
"65","300630014005","Block Group 5, Census Tract 14, Missoula County, Montana",814,37.7616707616708,93,120,210,11.4250614250614,14.7420147420147,26597.6821192053,4.05234657039711,243,408
"66","300630015001","Block Group 1, Census Tract 15, Missoula County, Montana",866,43.3077367205543,75,114,198,8.66050808314088,13.1639722863741,45193.898852384,5.28892215568862,195,511
"67","300630015002","Block Group 2, Census Tract 15, Missoula County, Montana",2154,35.5359795728876,304,222,590,14.1132776230269,10.3064066852368,39829.0813621765,4.70288248337029,626,1016
"68","300630015003","Block Group 3, Census Tract 15, Missoula County, Montana",1855,36.8765498652291,160,192,476,8.62533692722372,10.3504043126685,37761.147329197,4.80037313432836,367,1095
"69","300630015004","Block Group 4, Census Tract 15, Missoula County, Montana",1429,43.610566829951,81,278,363,5.66829951014696,19.4541637508747,29845.2157598499,4.72678916827853,441,726
"70","300630016001","Block Group 1, Census Tract 16, Missoula County, Montana",2518,39.0015885623511,323,287,625,12.8276409849087,11.3979348689436,39775.0507309814,4.72089721749006,537,1462
"71","300630016002","Block Group 2, Census Tract 16, Missoula County, Montana",1515,37.2894389438944,216,186,512,14.2574257425743,12.2772277227723,24177.4675972084,4.7148554336989,562,621
"72","300630016003","Block Group 3, Census Tract 16, Missoula County, Montana",1982,33.4783047426842,320,129,669,16.1453077699294,6.50857719475278,54518.5811444241,4.87154150197628,387,1107
"73","300630016004","Block Group 4, Census Tract 16, Missoula County, Montana",1083,48.5614035087719,104,260,157,9.60295475530933,24.0073868882733,47903.5918022473,4.58213096559378,372,571
"74","300630018001","Block Group 1, Census Tract 18, Missoula County, Montana",1400,44.6582142857143,151,356,310,10.7857142857143,25.4285714285714,30396.8170107713,4.37332053742802,570,599
"75","300630018002","Block Group 2, Census Tract 18, Missoula County, Montana",933,46.4581993569132,108,243,222,11.5755627009646,26.0450160771704,43283.6528018226,4.54304160688666,470,308
"76","300630018003","Block Group 3, Census Tract 18, Missoula County, Montana",999,39.4794794794795,128,145,262,12.8128128128128,14.5145145145145,29101.1683629326,4.53576751117735,391,431
"77","300630018004","Block Group 4, Census Tract 18, Missoula County, Montana",1018,50.102652259332,102,315,183,10.0196463654224,30.943025540275,29646.7065868263,4.76862980769231,497,364
